observation_uuid,photo_id,extension,path,bbox,max_conf,name,split,cropped_path,exists
31cef933-98b5-4a47-9f55-1a854a9a6468,448924918,jpeg,/home/golubev.dmitriy25/datasets/experement/data/val/Nyctereutes_procyonoides/448924918.jpeg,"[0.3333, 0.2899, 0.3543, 0.5419]",0.256,Nyctereutes procyonoides,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Nyctereutes_procyonoides/448924918.jpg,True
1f2e0936-e62f-4313-8f8a-9e87e462164c,529361113,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Lepus_timidus/529361113.jpg,"[0.3359, 0.3063, 0.2739, 0.6546]",0.939,Lepus timidus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Lepus_timidus/529361113.jpg,True
005586e6-067a-4437-8847-2ce68a0fee3b,121515109,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Sciurus_vulgaris/121515109.jpg,"[0.3159, 0.268, 0.4339, 0.4293]",0.91,Sciurus vulgaris,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sciurus_vulgaris/121515109.jpg,True
c1f4393e-c042-4d72-a85b-324ed4dc7283,351376175,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Mustela_sibirica/351376175.jpeg,"[0.0, 0.2773, 0.8939, 0.56]",0.868,Mustela sibirica,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Mustela_sibirica/351376175.jpg,True
6c1838dc-2fe9-4c34-a797-3b97d2029387,609677616,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Sciurus_vulgaris/609677616.jpg,"[0.274, 0.25, 0.3919, 0.324]",0.868,Sciurus vulgaris,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sciurus_vulgaris/609677616.jpg,True
f5939daf-8dac-4a19-882c-8489a5f022ca,238958670,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Cervus_elaphus/238958670.jpg,"[0.362, 0.0906, 0.5239, 0.824]",0.964,Cervus elaphus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Cervus_elaphus/238958670.jpg,True
47be3d57-b790-440e-a840-f8c981cc08da,445451344,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Ursus_arctos/445451344.jpg,"[0.0, 0.0479, 0.9024, 0.864]",0.573,Ursus arctos,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Ursus_arctos/445451344.jpg,True
b5e750fb-c82a-4968-962d-71e3c92a4539,548151351,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Meles_meles/548151351.jpg,"[0.0, 0.2719, 0.8293, 0.3459]",0.888,Meles meles,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Meles_meles/548151351.jpg,True
495e7f40-029e-487a-a9ec-45fc8754e646,141695380,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Sus_scrofa/141695380.jpg,"[0.2933, 0.3059, 0.4239, 0.4659]",0.247,Sus scrofa,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sus_scrofa/141695380.jpg,True
88ef2356-1e3d-4b58-9f90-40761fc14536,385545071,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Cervus_elaphus/385545071.jpg,"[0.2639, 0.0, 0.432, 0.8933]",0.862,Cervus elaphus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Cervus_elaphus/385545071.jpg,True
d9257731-bc19-4283-adc0-2f96d7a131c5,121832992,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Sus_scrofa/121832992.jpg,"[0.0759, 0.296, 0.8519, 0.3919]",0.797,Sus scrofa,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sus_scrofa/121832992.jpg,True
7cd8a000-b56a-4bf1-b906-ed86a60300f0,611452579,jpg,/home/golubev.dmitriy25/datasets/experement/data/test/Nyctereutes_procyonoides/611452579.jpg,"[0.2959, 0.1421, 0.4659, 0.4313]",0.932,Nyctereutes procyonoides,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Nyctereutes_procyonoides/611452579.jpg,True
4c9b67bb-5717-4177-a464-dfac3645b4d4,455683522,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Lynx_lynx/455683522.jpeg,"[0.5239, 0.3629, 0.2319, 0.2348]",0.901,Lynx lynx,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Lynx_lynx/455683522.jpg,True
3f856cbd-49a0-4363-8e5b-6c1847b2489d,532188865,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Ursus_arctos/532188865.jpg,"[0.292, 0.5386, 0.326, 0.4079]",0.95,Ursus arctos,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Ursus_arctos/532188865.jpg,True
f76dfdbe-9376-46e1-8675-2e37a8dce696,456305743,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Sciurus_vulgaris/456305743.jpg,"[0.41, 0.3873, 0.37, 0.2582]",0.923,Sciurus vulgaris,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sciurus_vulgaris/456305743.jpg,True
cdf84e39-19ec-457a-bdd6-e8a96274c300,12291422,jpg,/home/golubev.dmitriy25/datasets/experement/data/test/Mustela_sibirica/12291422.jpg,"[0.3599, 0.3759, 0.3333, 0.3339]",0.411,Mustela sibirica,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Mustela_sibirica/12291422.jpg,True
72223731-ebed-4a2c-a1cc-09bf67fba78c,315155469,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Alces_alces/315155469.jpeg,"[0.148, 0.1312, 0.6179, 0.7589]",0.969,Alces alces,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Alces_alces/315155469.jpg,True
3bac93fe-3395-44d5-aab8-5a252d29f799,22953701,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Lepus_timidus/22953701.jpeg,"[0.3839, 0.4079, 0.2426, 0.1659]",0.731,Lepus timidus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Lepus_timidus/22953701.jpg,True
d3c10b20-bdce-4822-8ad6-a7b6bdf54c98,44760094,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Rangifer_tarandus/44760094.jpeg,"[0.35, 0.5135, 0.202, 0.2012]",0.914,Rangifer tarandus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Rangifer_tarandus/44760094.jpg,True
401d41fc-cc8d-45da-a843-c6d9fd278df2,650006099,jpg,/home/golubev.dmitriy25/datasets/experement/data/val/Sciurus_vulgaris/650006099.jpg,"[0.2779, 0.3146, 0.2, 0.3759]",0.917,Sciurus vulgaris,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sciurus_vulgaris/650006099.jpg,True
cd81ddc1-3578-41a0-8ff1-c2a6fb751850,615518882,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Vulpes_vulpes/615518882.jpg,"[0.204, 0.5093, 0.7279, 0.4586]",0.946,Vulpes vulpes,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Vulpes_vulpes/615518882.jpg,True
07d6eae1-9da1-4aba-aa89-547a3dcfa04a,396209364,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Cervus_elaphus/396209364.jpeg,"[0.4099, 0.0026, 0.31, 0.8826]",0.862,Cervus elaphus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Cervus_elaphus/396209364.jpg,True
4ec444c1-7243-4572-8423-ab1e9d69fb19,436235556,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Nyctereutes_procyonoides/436235556.jpg,"[0.0, 0.5622, 0.214, 0.3202]",0.93,Nyctereutes procyonoides,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Nyctereutes_procyonoides/436235556.jpg,True
6c6dccd4-54f6-4323-9f46-2fb8e0372c8f,624612645,jpg,/home/golubev.dmitriy25/datasets/experement/data/test/Canis_lupus/624612645.jpg,"[0.0419, 0.3914, 0.2479, 0.3096]",0.926,Canis lupus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Canis_lupus/624612645.jpg,True
ac7367a0-c7c4-42f3-94e7-272cde2fa6d4,94800999,jpg,/home/golubev.dmitriy25/datasets/experement/data/val/Sciurus_vulgaris/94800999.jpg,"[0.3179, 0.0719, 0.43, 0.7546]",0.833,Sciurus vulgaris,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sciurus_vulgaris/94800999.jpg,True
6cfbbd10-2caf-4857-9be1-5d145ef2ea81,250906728,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Cervus_elaphus/250906728.jpg,"[0.396, 0.3303, 0.214, 0.2162]",0.908,Cervus elaphus,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Cervus_elaphus/250906728.jpg,True
7f9625ab-330f-4282-ad79-50ba8c10ae88,247536865,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Lynx_lynx/247536865.jpeg,"[0.4079, 0.0799, 0.194, 0.456]",0.922,Lynx lynx,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Lynx_lynx/247536865.jpg,True
9d2b39eb-f3da-47ae-bf51-00bcbaad93eb,270851480,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Sciurus_vulgaris/270851480.jpeg,"[0.408, 0.3813, 0.1319, 0.4959]",0.928,Sciurus vulgaris,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sciurus_vulgaris/270851480.jpg,True
a4b592e8-7dcc-46aa-bf9a-6ca75728578f,673898793,jpg,/home/golubev.dmitriy25/datasets/experement/data/train/Alces_alces/673898793.jpg,"[0.4939, 0.4519, 0.2099, 0.5053]",0.956,Alces alces,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Alces_alces/673898793.jpg,True
b19b0c2d-7aeb-40ec-840d-6268acf9c703,467308271,jpeg,/home/golubev.dmitriy25/datasets/experement/data/train/Sciurus_vulgaris/467308271.jpeg,"[0.3619, 0.0133, 0.2879, 0.9546]",0.892,Sciurus vulgaris,train,/home/golubev.dmitriy25/datasets/experement/data_cropped/train/Sciurus_vulgaris/467308271.jpg,True
